station_slug,station_name,year,date,PM2.5,PM10,CO,SO2,O3,NO2
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,24/02/2022,,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,25/02/2022,23,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,26/02/2022,18,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,27/02/2022,23,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,28/02/2022,18,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,01/03/2022,22,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,02/03/2022,35,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,03/03/2022,52,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,04/03/2022,35,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,05/03/2022,19,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,06/03/2022,19,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,07/03/2022,27,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,2022,08/03/2022,23,,,,,
